Afghan Afghani,78.94,"""@drawable/flag_afghanistan"""
Albanian Lek,101.54,"""@drawable/flag_albania"""
Algerian Dinar,133.76,"""@drawable/flag_algeria"""
Argentine Peso,95.25,"""@drawable/flag_argentina"""
Armenian Dram,515.68,"""@drawable/flag_armenia"""
Australian Dollar,1.3,"""@drawable/flag_australia"""
Azerbaijani Manat,1.7,"""@drawable/flag_azerbaijan"""
Bahamian Dollar,1,"""@drawable/flag_bahamia"""
Bahraini Dinar,0.38,"""@drawable/flag_bahrain"""
Bajan dollar,2.02,"""@drawable/flag_baja_california"""
Bangladeshi Taka,84.82,"""@drawable/flag_bangladesh"""
Belarusian Ruble,2.49,"""@drawable/flag_belarus"""
Belize Dollar,2.02,"""@drawable/flag_belize"""
Bermudian Dollar,1,"""@drawable/flag_bermuda"""
Bhutan,73.25,"""@drawable/flag_bhutan"""
Canadian Dollar,1.22,"""@drawable/flag_canada"""
Chilean Peso,722.9,"""@drawable/flag_chile"""
Chinese Yaun,6.4,"""@drawable/flag_china"""
Croatian Kuna,6.18,"""@drawable/flag_croatia"""
Cuban Peso,24,"""@drawable/flag_cuba"""
Czech Koruna,21.02,"""@drawable/flag_czech_republic"""
Danish Krone,6.14,"""@drawable/flag_denmark"""
Djiboutian Franc,178.02,"""@drawable/flag_djibouti"""
Egyptian Pound,15.7,"""@drawable/flag_egypt"""
European Euro,0.83,"""@drawable/flag_europe"""
Fijian Dollar,2.04,"""@drawable/flag_fiji"""
Gambian dalasi,51.15,"""@drawable/flag_gambia"""
Georgian Lari,3.16,"""@drawable/flag_georgia"""
Ghanaian Cedi,5.81,"""@drawable/flag_ghana"""
Guatemalan Quetzal,7.73,"""@drawable/flag_gautemala"""
Guinean Franc,9813.46,"""@drawable/flag_guinea"""
Guyanaese Dollar,209.24,"""@drawable/flag_guyana"""
Haitian Gourde,91,"""@drawable/flag_haiti"""
Honduran Lempira,24.01,"""@drawable/flag_honduras"""
Hong Kong Dollar,7.76,"""@drawable/flag_hongkong"""
Hungarian Forint,289.63,"""@drawable/flag_hungary"""
Icelandic Króna,121.4,"""@drawable/flag_iceland"""
Indian Rupee,73,"""@drawable/flag_india"""
